FIPSST,NAMEPCAP,Number of Records,PSTATABB,STBMPR,STC2ERTA,STCCO2RT,STCCO2R,STCH4AN,STCH4CRT,STCH4RTA,STCLPR,STCNOXRT,STCNOXR,STCNPR,STCNXORT,STCNXOR,STCO2AN,STCO2CRT,STCO2EQA,STCO2RA,STCO2RTA,STCSO2RT,STCSO2R,STCYPR,STFSC2RT,STFSC2R,STFSNORT,STFSNOR,STFSNXRT,STFSNXR,STFSS2RT,STFSS2R,STGCO2RT,STGCO2R,STGENABM,STGENACL,STGENACN,STGENACY,STGENAGS,STGENAGT,STGENAHY,STGENANC,STGENAOF,STGENAOL,STGENAOP,STGENASO,STGENATH,STGENATN,STGENATR,STGENAWI,STGNOXRT,STGNOXR,STGNXORT,STGNXOR,STGSO2RT,STGSO2R,STGSPR,STGTPR,STHTIANT,STHTIAN,STHTIOZT,STHTIOZ,STHYPR,STN2OAN,STN2OCRT,STN2ORTA,STNBCH4,STNBCO2,STNBN2O,STNBNOX,STNBNXO,STNBSO2,STNCPR,STNGENAN,STNGENOZ,STNOXAN,STNOXCRO,STNOXCRT,STNOXOZ,STNOXRA,STNOXRO,STNOXRTA,STNOXRTO,STOCO2RT,STOCO2R,STOFPR,STOLPR,STONOXRT,STONOXR,STONXORT,STONXOR,STOPPR,STOSO2RT,STOSO2R,STSO2AN,STSO2CRT,STSO2RA,STSO2RTA,STSOPR,STTHPR,STTNPR,STTRPR,STWIPR
13,51323.9,1,GA,3.308692590,1105.744,2261.581,207.053,13292243.919,146.338,105.657,36.000008132,1.535,0.14,27.799335284,1.005,0.093,69106579.224,1521.627,69554394.251,164.355,1098.625,2.848,0.261,72.200664716,1589.372,173.746,0.586,0.064,0.854,0.093,1.508,0.165,854.063,118.31,4162520.816,45290028.963,34973122.66,90832484.929,40953201.562,0,2283714,32570182,63485.631,360732.668,2515.289,119226.66,4281747.476,119240146.113,6565461.476,0,0.101,0.014,0.102,0.014,0.032,0.004,32.552763225,0,1211871721.198,840940783.195,561643015.874,404006288.876,1.815272025,1988686.876,21.894,15.808,304.822,1602.483,45.519,1.118,0.818,2.859,25.889292715,125805607.875,58175546.933,40114.757,0.647,0.883,13584.562,0.095,0.067,0.638,0.467,1317.354,202.901,0.050463276,0.286738147,2.004,0.309,1.447,0.248,0.001999346,2.574,0.397,75258.537,1.657,0.179,1.196,0.094770545,3.403463135,94.781264840,5.218735160,0
15,3221.2,1,HI,3.273470192,1338.859,1999.86,205.622,1444170.331,156.323,141.528,14.809490629,0.866,0.089,9.464796727,0.966,0.099,6781193.139,1468.052,6830964.719,159.668,1329.104,11.789,1.212,90.535203273,1522.126,171.422,4.626,0.497,4.472,0.504,8.837,0.995,0,0,334030.08,1511183.866,965802.84,9238355.452,0,253841,94083.09,0,256519.492,6925918.664,210703.35,39261.75,1205749.83,8904325.372,1299832.92,578617,0,0,0,0,0,0,0,2.487623111,94126166.055,84941381.053,42245315.697,38173465.693,0.922007355,223276.082,24.168,21.881,281.919,1425.065,44.901,5.663,5.853,7.604,0,10204158.502,4419392.544,19553.217,4.351,4.233,8704.889,0.46,0.456,3.832,3.939,1420.628,163.298,2.513872136,67.873493000,5.238,0.602,5.411,0.588,2.064877317,8.21,0.944,37542.071,8.127,0.884,7.358,0.384762259,11.816259563,87.261733082,12.738266918,5.670404000
19,19950.5,1,IA,0.468361184,1348.863,2196.382,208.968,8586910.39,241.78,151.055,59.340438515,1.919,0.183,37.523572515,1.935,0.184,38055321.656,2143.029,38338857.061,205.577,1338.888,4.362,0.415,62.476427485,2151.41,206.441,1.871,0.18,1.881,0.181,4.199,0.403,991.426,119.716,266245.389,33732765.779,21330713.33,35515455.359,1372515.275,0,878605,4152468,0,143928.916,0,0,16565885.719,39401677.97,17444490.719,16299640.33,0.725,0.088,0.541,0.071,0.145,0.018,2.414437607,0,577025483.583,370229247.581,229465919.47,158695656.47,1.545583494,1247566.761,35.127,21.946,461.544,2162.761,66.958,2.089,2.045,4.98,7.304745589,56846167.863,22513122.966,34129.507,2.079,1.922,14620.654,0.184,0.184,1.201,1.299,1552.857,199.7,0,0.253190179,3.037,0.391,2.648,0.354,0,0.524,0.067,74295.904,4.184,0.401,2.614,0,29.141604617,69.312811890,30.687188110,28.673243432
16,5504.2,1,ID,3.799308151,147.462,1158.384,205.912,156639.684,48.631,10.372,0.514291090,3.358,0.597,78.672571903,3.562,0.597,1107906.033,687.928,1113532.046,74.371,146.717,18.661,3.317,21.327428097,862.172,120.907,0.226,0.031,0.221,0.031,0.377,0.053,857.418,119.842,573793.861,77671.265,11881594.49,3220993.62,2494649.494,78799,8996995.49,0,0,1,74878,0,3458392.861,2647199.759,12455388.351,2805800,0.17,0.024,0.178,0.024,0.086,0.012,16.518026419,0.521758254,142787927.951,29793960.953,64526619.321,13420819.321,59.572540974,25685.794,7.974,1.701,84.974,720.563,15.159,1.189,1.114,0.614,0,15102586.656,6838475.828,17168.08,9.972,10.66,7272.29,1.152,1.084,2.274,2.127,100772,163.326,0,6.621381665e-06,1956,3.17,,3.174,0.495795816,180,0.292,1056.256,0.656,0.071,0.14,0,22.899339079,17.528119947,82.471880053,18.578272675
17,61001.5,1,IL,0.280196404,996.739,2208.259,207.82,22342951.851,237.653,110.535,43.177985352,1.023,0.096,53.488724987,0.997,0.093,99999815.004,2127.313,100737475.324,202.543,989.441,3.375,0.318,46.511275013,2144.351,204.399,0.982,0.093,1.008,0.096,3.192,0.304,1046.019,119.228,566372.36,87277413.641,108118930,94015127.273,5464573.982,0,132298,97857900,341539.369,86756.051,278471.87,45838,10695104.36,191306654.913,10827402.36,10082894,0.819,0.093,0.846,0.09,0.478,0.055,2.703440507,0,2108558578.448,987443116.45,868021123.251,406146930.252,0.065450623,3245544.02,34.522,16.056,448.635,2062.629,65.056,1.044,1.001,3.361,48.412376084,202134056.529,82777027.401,49458.428,1.029,1.052,19811.37,0.1,0.098,0.489,0.479,2794.218,162.811,0.168966761,0.042920056,36.026,2.099,33.412,2.036,0.137765933,6.64,0.387,148984.198,3.169,0.302,1.474,0.022677030,5.291094685,94.643454692,5.356545308,4.988221251
18,40244.5,1,IN,0.338571356,1982.87,2184.096,207.251,24404649.908,219.021,212.171,84.568328835,2.175,0.206,3.400939060,2.093,0.198,113232514.534,2032.424,114038178.477,201.588,1968.862,5.91,0.561,96.599060940,2082.728,202.831,1.965,0.189,2.011,0.196,5.421,0.528,882.62,119.072,390538.743,97548739.117,3922949.9,111426070.781,9572346.436,0,371153,0,2180429.777,1362544.175,371472.533,102126.9,3942335.643,111035532.038,4313488.643,3449670,0.161,0.022,0.209,0.027,0.037,0.005,8.298593590,0,1163969260.912,1123405971.914,494146990.818,481743596.821,0.321765194,3544613.68,31.811,30.816,389.775,1969.738,56.525,1.832,1.773,5.751,0,115023340.266,48022408.66,112928.537,2.008,2.027,46714.66,0.201,0.194,1.964,1.946,-39368.587,163.326,1.890288937,1.181236015,-322.283,1.337,85.924,1.196,0.322042208,-115.376,0.479,293960.007,5.276,0.523,5.111,0.088537293,3.417745222,96.260489584,3.739510416,2.990636574
20,18320.4,1,KS,0.119081757,1419.021,2352.076,209.564,7652669.758,252.494,153.891,57.819376867,1.734,0.155,39.051544148,1.8,0.159,35029736.454,2311.56,35282359.807,204.274,1408.86,2.185,0.195,60.948455852,2316.397,204.736,1.865,0.164,1.8,0.159,2.087,0.184,1566.877,118.807,59216.693,28752282.22,19419459,30308303.176,1452523.39,0,16214,8558384,0,44279.903,0.97,0,10904077.693,38807470.483,10920291.693,10844861,3.15,0.239,2.961,0.23,0.039,0.003,2.920950645,0,535882718.872,342968032.872,236763791.867,156215685.867,0.032605529,1111421.424,36.671,22.35,475.071,2288.986,68.808,2.177,2.227,2.694,17.210474844,49727761.916,21780081.454,27725.67,1.947,1.83,12924.962,0.162,0.165,1.115,1.187,4770.954,157.81,0,0.089044632,30.618,1.013,24.603,0.86,1.950620654e-06,2.727,0.09,31570.663,2.083,0.184,1.27,0,21.927545532,78.039848939,21.960151061,21.808463774
21,29647.6,1,KY,0.492856919,2084.279,2166.138,204.14,21727248.228,247.596,239.033,91.974961505,2.01,0.189,3.458405156,1.895,0.178,94007833.114,2142.559,94726747.515,202.551,2068.46,4.685,0.441,96.541594844,2153.977,203.246,1.889,0.177,1.992,0.188,4.63,0.437,1126.677,118.752,447989.37,83601961.232,3143567,87752868.143,2500197.072,0,3143567,0,49941.272,1152779.197,0,0,447989.37,87304878.773,3591556.37,0,0.502,0.053,0.689,0.059,0.006,0.001,2.750599700,0,958134641.024,928239324.021,395423053.713,384682970.719,3.458405156,3166311.575,36.082,34.834,487.933,2137.485,71.026,2.112,1.995,5.009,0,90896434.998,37185318.005,87906.156,1.914,2.003,34349.656,0.189,0.179,1.934,1.847,1825.981,163.326,0.054943048,1.268233672,35.933,3.214,35.962,3.214,0,3.242,0.29,202494.891,4.615,0.436,4.456,0,0.492856919,96.048737924,3.951262076,0
22,34085.4,1,LA,2.668054279,979.633,2197.406,211.442,7060837.069,82.314,68.206,18.449649025,1.697,0.163,17.662892251,1.579,0.15,50474153.179,1176.834,50707234.2,144.347,975.13,7.118,0.685,82.337107749,1226.571,150.273,1.088,0.129,1.052,0.129,1.681,0.206,897.472,116.028,2779604.152,19221018.64,18401368,85779576.655,56072107.84,0,1090038,17311330,1991004.006,5231073.907,484768.11,0,2779604.152,100311302.503,3869642.152,0,0.942,0.122,1.037,0.128,0.056,0.007,53.821846237,0,891989968.371,699344838.37,415524824.896,334983574.896,1.046293066,1025433.753,11.954,9.905,171.721,1255.466,24.748,1.176,1.233,1.655,16.616599185,103522968.665,47038606.594,44407.007,1.083,1.035,21104.258,0.127,0.126,0.858,0.897,1543.611,205.312,1.911101894,5.021142709,0.811,0.108,0.756,0.097,0.465313606,2.548,0.339,67219.236,1.567,0.192,1.299,0,2.668054279,96.285652655,3.714347345,0
25,18890.2,1,MA,3.861709113,895.553,2042.551,200.409,3512907.487,144.567,113.268,9.012169579,1.298,0.127,21.645598702,1.489,0.133,13778384.035,1134.043,13887420.104,126.574,888.522,2.014,0.198,78.354401298,1096.978,134.71,0.214,0.028,0.397,0.049,0.429,0.053,926.785,119.853,1197608.211,2794888.991,6712817.04,24299570.894,18473432.313,0,438774,5769154,877548.911,956092.468,0,294106.04,1702497.251,28871116.683,2141271.251,210783,0.192,0.025,0.156,0.02,0.11,0.014,59.567913159,0,291413753.353,217712511.558,126648703.286,96908329.287,1.414834617,465487.369,19.156,15.009,178.561,1199.59,24.537,0.664,0.413,0.641,18.602740338,31014178.671,14058768.057,10452.05,0.663,0.86,3651.134,0.096,0.075,0.674,0.519,1653.178,154.991,2.829672171,3.082937277,2.295,0.215,2.05,0.182,0,2.4,0.225,5780.305,0.476,0.053,0.373,0.948350190,5.489732860,93.095432523,6.904567477,0.679673556
24,17843.5,1,MD,1.499610505,1169.671,2155.075,200.397,5412138.452,252.278,143.105,46.545608928,1.339,0.124,43.275039026,1.084,0.098,21940310.507,2045.424,22118156.461,187.154,1160.266,2.509,0.233,56.724960974,2064.983,193.17,1.126,0.102,1.371,0.128,2.433,0.228,1123.192,119.759,567144.37,17603290.965,16366379.58,21453065.413,2505890.296,0,1615523,14343334,313284.157,463455.625,0,93184.58,974666.95,35229255.043,2590189.95,314338,1.193,0.127,1.212,0.122,0.013,0.001,6.625930911,0,403720358.525,234462675.527,169183766.001,96930013.002,4.271672946,780764.52,36.394,20.645,479.389,2079.138,69.38,1.712,1.407,2.902,37.925818326,37819444.988,15601585.799,16263.872,1.26,1.516,5573.744,0.139,0.115,0.86,0.715,5390.414,166.881,0.828367939,1.225442692,15.626,0.484,15.504,0.362,0,54.04,1.673,25339.594,2.362,0.216,1.34,0.246393304,2.577158259,93.151168796,6.848831204,0.831154450
23,5832.4,1,ME,25.626137491,356.299,0,0,2228291.412,261.287,168.226,0.597200199,0,0,35.616306294,0,0,2292308.362,537.587,2359733.61,66.365,346.119,0,0,64.383693706,693.386,107.653,0.142,0.023,0.243,0.038,0.496,0.077,636.607,102.209,3394385.762,79103.917,4717663.09,8528132.392,4344551.577,0,3620334.09,0,308447.347,304961.789,96682,0,4491714.762,5133746.63,8112048.852,1097329,0.156,0.025,0.13,0.022,0.191,0.031,32.799476505,0,112036079.926,69082077.747,46397018.553,28763540.95,27.331949183,315950.102,37.048,23.853,281.207,648.047,39.723,0.512,0.345,0.551,0,13245795.392,5698354.795,3183.681,0.631,0.747,1158.127,0.092,0.081,0.481,0.406,1843.087,171.571,2.328643436,2.302328987,2.006,0.187,2.769,0.195,0.729907087,6.671,0.621,2342.25,0.549,0.068,0.354,0,33.910494603,38.757556215,61.242443785,8.284357112
26,35992.4,1,MI,2.628850360,1282.398,2226.614,208.872,15393448.419,217.587,144.204,49.556011948,1.957,0.184,33.725740903,1.961,0.183,67940295.658,1920.678,68446445.476,185.982,1272.915,5.667,0.532,66.274259097,1996.046,194.334,1.722,0.166,1.685,0.164,4.599,0.448,1031.494,119.386,2806234.2,52899844.599,36001413,70746169.22,12465145.138,0,899133,31245848,1505855.132,1051298.436,17791.715,0,6662666.2,99185783.02,7561799.2,3856432,0.535,0.062,0.576,0.067,0.133,0.015,11.677215426,0,1109388715.131,730611492.16,483603296.789,317963286.767,0.842298234,2222700.709,31.418,20.822,396.87,1882.348,57.284,1.71,1.74,4.63,29.270778176,106747581.842,46153964.261,64216.251,1.851,1.815,28310.625,0.176,0.178,1.203,1.227,8748.576,157.651,1.410669076,0.984845197,108.794,1.96,93.447,1.881,0.016667089,16.322,0.294,156964.363,4.437,0.43,2.941,0,6.241514853,92.916186912,7.083813088,3.612664493
27,21057.5,1,MN,3.094290873,1209.946,2240.388,208.519,8776872.088,257.773,154.031,49.062881731,1.754,0.163,40.245602631,1.749,0.162,34198306.05,2008.779,34472151.508,189.735,1200.334,1.951,0.182,59.754397369,2090.154,199.549,1.571,0.15,1.601,0.153,1.737,0.166,918.8,110.288,1763167.904,27956679.541,22932477.18,34048846.694,3871764.082,0,548488.18,12707166,281012.611,60247.676,115974.88,2653,11439990.904,44992844.79,11988479.084,9674170,0.37,0.044,0.286,0.036,0.057,0.007,6.794794889,0,590782741.595,360484230.132,239185509.836,148048811.543,0.962575354,1258627.15,36.965,22.088,447.764,1785.764,63.737,1.976,1.969,1.851,22.300580499,56981323.968,22980543.568,27615.404,1.62,1.622,11121.507,0.153,0.15,0.969,0.968,704.311,56.794,0.493166167,0.105732321,5.415,0.437,2.195,0.18,0.203531389,1.146,0.092,29008.192,1.704,0.161,1.018,0.004655911,20.076737651,78.960686995,21.039313005,16.977790866
29,24280.5,1,MO,0.131651306,1757.839,2050.08,209.126,18373415.088,239.544,209.183,82.438725916,2.025,0.207,12.674317234,1.948,0.196,76592408.913,1997.152,77198995.728,205.117,1744.027,3.705,0.378,87.325682766,1998.769,205.298,1.869,0.19,1.951,0.2,3.538,0.363,1003.129,119.301,115634.579,72409212.313,11132357,76701620.913,4047005.084,0,716189,9276356,26122.798,103646.139,0,8707,1255446.579,85862342.334,1971635.579,1131105,0.475,0.057,0.445,0.054,0.306,0.036,4.607562108,0,861313933.618,746818340.615,384412380.157,332511527.155,0.815389462,2668812.629,34.795,30.385,444.157,1924.159,64.303,1.688,1.61,3.078,10.561238624,87833977.052,38714169.587,75218.166,1.874,1.961,31674.39,0.201,0.191,1.713,1.636,6200.389,163.326,0.029741108,0.118002328,50.618,1.333,153.796,1.478,0,12.491,0.329,135591.027,3.536,0.363,3.087,0.009913020,1.429340454,97.755270084,2.244729916,1.287776128
28,19439.1,1,MS,2.735403803,991.346,1738.009,181.616,3502986.073,78.061,63.544,19.486908245,1.991,0.208,18.597358777,2.084,0.213,27209854.058,1212.698,27325002.221,145.563,987.168,9.891,1.034,81.402641223,1256.688,149.016,1,0.117,0.943,0.112,4.197,0.498,900.429,118.781,1507948.559,10742565.75,10252183,44874908.557,32605949.438,0,0,10252183,4343.955,14100.855,0,0,1507948.559,53619142.998,1507948.559,0,0.17,0.022,0.147,0.02,0.005,0.001,59.146870472,0,481086155.812,373857435.81,231007546.478,179787627.477,0,505592.312,11.267,9.171,149.253,1243.881,20.999,0.983,1.032,4.575,18.597358777,55127091.661,26236752.278,20770.756,0.984,0.926,10508.096,0.111,0.117,0.754,0.801,1396.346,119.54,0.007879891,0.025578812,0.538,0.046,0.521,0.043,0,0.022,0.002,92660.904,4.13,0.496,3.362,0,2.735403803,97.264596197,2.735403803,0
