SEQGEN14,PSTATABB,PNAME,ORISPL,GENID,NUMBLR,GENSTAT,PRMVR,FUELG1,NAMEPCAP,CFACT, GENNTAN , GENNTOZ ,GENERSRC,GENYRONL,GENYRRET,,
93,AK,Dillingham,109,12,0,OP,IC,DFO,1.0,0.319," 2,797 ", 958 ,Distributed from 923 Generation And Fuel,2006,,,
94,AK,Dillingham,109,13,0,OP,IC,DFO,1.0,0.319," 2,797 ", 958 ,Distributed from 923 Generation And Fuel,2006,,,
95,AK,Dillingham,109,14,0,OP,IC,DFO,1.0,0.319," 2,797 ", 958 ,Distributed from 923 Generation And Fuel,2008,,,
96,AK,Dillingham,109,15,0,OP,IC,DFO,1.0,0.319," 2,797 ", 958 ,Distributed from 923 Generation And Fuel,2008,,,
97,AK,Dillingham,109,16,0,OP,IC,DFO,0.5,0.319," 1,398 ", 479 ,Distributed from 923 Generation And Fuel,2009,,,
98,AK,Dillingham,109,3,0,RE,IC,DFO,0.3,,,,,1961,2009,,
99,AK,Dillingham,109,4,0,RE,IC,DFO,0.5,,,,,1967,2001,,
100,AK,Dillingham,109,5,0,RE,IC,DFO,0.7,,,,,1973,2007,,
101,AK,Dillingham,109,6,0,RE,IC,DFO,1.0,,,,,1976,2007,,
102,AK,Dillingham,109,8,0,RE,IC,DFO,0.8,,,,,1985,2006,,
103,AK,Dillingham,109,IC9,0,RE,IC,DFO,0.8,,,,,1985,2006,,
104,AK,Dutch Harbor,7502,1,0,RE,IC,DFO,0.3,,,,,1985,2011,,
105,AK,Dutch Harbor,7502,10,0,OP,IC,DFO,5.2,0.304," 13,853 "," 4,743 ",Distributed from 923 Generation And Fuel,2010,,,
106,AK,Dutch Harbor,7502,11,0,OP,IC,DFO,5.2,0.304," 13,853 "," 4,743 ",Distributed from 923 Generation And Fuel,2010,,,
107,AK,Dutch Harbor,7502,12,0,V,IC,DFO,4.4,,,,,2015,,,
108,AK,Dutch Harbor,7502,13,0,OP,IC,DFO,4.4,0.304," 11,722 "," 4,014 ",Distributed from 923 Generation And Fuel,2011,,,
109,AK,Dutch Harbor,7502,15,0,SB,IC,DFO,0.3,0.304, 799 , 274 ,Distributed from 923 Generation And Fuel,2010,,,
110,AK,Dutch Harbor,7502,2,0,RE,IC,DFO,0.3,,,,,1987,2011,,
111,AK,Dutch Harbor,7502,3,0,RE,IC,DFO,0.6,,,,,1986,2011,,
112,AK,Dutch Harbor,7502,4,0,RE,IC,DFO,0.9,,,,,1986,2011,,
113,AK,Dutch Harbor,7502,5,0,RE,IC,DFO,0.6,,,,,1985,2011,,
114,AK,Dutch Harbor,7502,6,0,RE,IC,DFO,1.4,,,,,1985,2011,,
115,AK,Dutch Harbor,7502,8,0,OP,IC,DFO,1.2,0.304," 3,197 "," 1,095 ",Distributed from 923 Generation And Fuel,1989,,,
116,AK,Dutch Harbor,7502,9,0,OP,IC,DFO,1.2,0.304," 3,197 "," 1,095 ",Distributed from 923 Generation And Fuel,1994,,,
117,AK,Eielson AFB Central Heat & Power Plant,50392,DG01,0,SB,IC,DFO,1.5,0.001, 10 , 4 ,Distributed from 923 Generation And Fuel,1998,,,
118,AK,Eielson AFB Central Heat & Power Plant,50392,DG02,0,SB,IC,DFO,1.5,0.001, 10 , 4 ,Distributed from 923 Generation And Fuel,1998,,,
119,AK,Eielson AFB Central Heat & Power Plant,50392,DG03,0,SB,IC,DFO,1.5,0.001, 10 , 4 ,Distributed from 923 Generation And Fuel,1998,,,
120,AK,Eielson AFB Central Heat & Power Plant,50392,DG04,0,SB,IC,DFO,1.5,0.001, 10 , 4 ,Distributed from 923 Generation And Fuel,1998,,,
121,AK,Eielson AFB Central Heat & Power Plant,50392,DG1,0,SB,IC,DFO,2.5,0.001, 16 , 7 ,Distributed from 923 Generation And Fuel,1987,,,
122,AK,Eielson AFB Central Heat & Power Plant,50392,TG1,7,OP,ST,SUB,2.5,0.000, -   , -   ,EIA-923 Generator File,1952,,,
123,AK,Eielson AFB Central Heat & Power Plant,50392,TG2,7,OP,ST,SUB,2.5,0.035, 771 , 437 ,EIA-923 Generator File,1952,,,
124,AK,Eielson AFB Central Heat & Power Plant,50392,TG3,7,OP,ST,SUB,5.0,0.248," 10,853 "," 4,915 ",EIA-923 Generator File,1955,,,
125,AK,Eielson AFB Central Heat & Power Plant,50392,TG4,7,OP,ST,SUB,5.0,0.321," 14,053 "," 4,849 ",EIA-923 Generator File,1969,,,
126,AK,Eielson AFB Central Heat & Power Plant,50392,TG5,7,OP,ST,SUB,10.0,0.486," 42,532 "," 15,795 ",EIA-923 Generator File,1987,,,
127,AK,Eklutna Generation Station,58989,EGS01,0,TS,IC,NG,17.1,,,,,2015,,,
128,AK,Eklutna Generation Station,58989,EGS02,0,TS,IC,NG,17.1,,,,,2015,,,
129,AK,Eklutna Generation Station,58989,EGS03,0,TS,IC,NG,17.1,,,,,2015,,,
130,AK,Eklutna Generation Station,58989,EGS04,0,TS,IC,NG,17.1,,,,,2015,,,
131,AK,Eklutna Generation Station,58989,EGS05,0,TS,IC,NG,17.1,,,,,2015,,,
132,AK,Eklutna Generation Station,58989,EGS06,0,TS,IC,NG,17.1,,,,,2015,,,
133,AK,Eklutna Generation Station,58989,EGS07,0,TS,IC,NG,17.1,,,,,2015,,,
134,AK,Eklutna Generation Station,58989,EGS08,0,TS,IC,NG,17.1,,,,,2015,,,
135,AK,Eklutna Generation Station,58989,EGS09,0,TS,IC,NG,17.1,,,,,2015,,,
136,AK,Eklutna Generation Station,58989,EGS10,0,TS,IC,NG,17.1,,,,,2015,,,
137,AK,Eklutna Hydro Project,77,1,0,OP,HY,WAT,22.2,0.214," 41,555 "," 16,953 ",Distributed from 923 Generation And Fuel,1955,,,
138,AK,Eklutna Hydro Project,77,2,0,OP,HY,WAT,22.2,0.214," 41,555 "," 16,953 ",Distributed from 923 Generation And Fuel,1955,,,
139,AK,Elim,57060,UNIT1,0,OP,IC,JF,0.2,0.085, 150 , 51 ,Distributed from 923 Generation And Fuel,2003,,,
140,AK,Elim,57060,UNIT2,0,OP,IC,JF,0.4,0.085, 300 , 103 ,Distributed from 923 Generation And Fuel,2003,,,
141,AK,Elim,57060,UNIT3,0,OP,IC,JF,1.0,0.085, 749 , 256 ,Distributed from 923 Generation And Fuel,2003,,,
142,AK,Emmonak,6314,2,0,RE,IC,DFO,0.3,,,,,1977,2011,,
143,AK,Emmonak,6314,2A,0,OP,IC,DFO,0.5,0.163, 714 , 244 ,Distributed from 923 Generation And Fuel,2012,,,
144,AK,Emmonak,6314,4,0,RE,IC,DFO,0.3,,,,,1980,2005,,
145,AK,Emmonak,6314,4a,0,OP,IC,DFO,0.5,0.163, 714 , 244 ,Distributed from 923 Generation And Fuel,2005,,,
146,AK,Emmonak,6314,5,0,RE,IC,DFO,0.5,,,,,1988,2005,,
147,AK,Emmonak,6314,5a,0,OP,IC,DFO,0.5,0.163, 714 , 244 ,Distributed from 923 Generation And Fuel,2005,,,
148,AK,Emmonak,6314,6,0,OP,IC,DFO,0.9,0.163," 1,284 ", 440 ,Distributed from 923 Generation And Fuel,1995,,,
149,AK,ESS Battery,58405,1,0,OP,BA,MWH,3.0,,,,,2012,,,
150,AK,Eva Creek Wind,57935,EVW,0,OP,WT,WND,24.6,0.333," 71,779 "," 33,987 ",Distributed from 923 Generation And Fuel,2013,,,
151,AK,Fairbanks,6286,5,0,SB,IC,DFO,2.7,0.000, (63), -   ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1970,,,
152,AK,Fairbanks,6286,6,0,SB,IC,DFO,2.7,0.000, (63), -   ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1970,,,
153,AK,Fairbanks,6286,GT1,0,OP,GT,RFO,18.4,0.022," 3,605 "," 1,235 ",Distributed from 923 Generation And Fuel,1971,,,
154,AK,Fairbanks,6286,GT2,0,OP,GT,RFO,18.4,0.022," 3,605 "," 1,235 ",Distributed from 923 Generation And Fuel,1972,,,
155,AK,False Island,56146,1,0,OP,IC,DFO,1.3,0.072, 818 , 280 ,Distributed from 923 Generation And Fuel,2003,,,
156,AK,False Island,56146,3,0,RE,IC,DFO,0.3,,,,,1983,2007,,
157,AK,Fire Island Wind,58425,WT1,0,OP,WT,WND,18.0,0.303," 47,813 "," 22,639 ",Distributed from 923 Generation And Fuel,2012,,,
158,AK,Fort Greely Power Plant,54834,EN-1,0,RE,IC,DFO,1.0,0.001, 11 , 4 ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1954,2009,,
159,AK,Fort Greely Power Plant,54834,EN-2,0,RE,IC,DFO,1.0,0.001, 11 , 4 ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1954,2009,,
160,AK,Fort Greely Power Plant,54834,EN-3,0,RE,IC,DFO,1.0,0.001, 11 , 4 ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1954,2009,,
161,AK,Fort Greely Power Plant,54834,EN-4,0,SB,IC,DFO,1.2,0.001, 14 , 5 ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1959,,,
162,AK,Fort Greely Power Plant,54834,EN-5,0,SB,IC,DFO,1.2,0.001, 14 , 5 ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1959,,,
163,AK,Fort Greely Power Plant,54834,EN-6,0,SB,IC,DFO,2.5,0.001, 29 , 10 ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,2010,,,
164,AK,Fort Greely Power Plant,54834,EN-7,0,SB,IC,DFO,2.5,0.001, 29 , 10 ,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,2010,,,
165,AK,Galena Electric Utility,7437,1A,0,OA,IC,DFO,0.8,0.167," 1,169 ", 400 ,Distributed from 923 Generation And Fuel,1999,,,
166,AK,Galena Electric Utility,7437,2,0,RE,IC,DFO,0.8,,,,,1990,2013,,
167,AK,Galena Electric Utility,7437,2A,0,V,IC,DFO,0.5,,,,,2015,,,
168,AK,Galena Electric Utility,7437,3,0,RE,IC,DFO,0.8,,,,,1990,2009,,
169,AK,Galena Electric Utility,7437,3A,0,OP,IC,DFO,0.8,0.167," 1,169 ", 400 ,Distributed from 923 Generation And Fuel,2009,,,
170,AK,Galena Electric Utility,7437,4,0,RE,IC,DFO,0.8,,,,,1990,2003,,
171,AK,Galena Electric Utility,7437,4A,0,OP,IC,DFO,1.0,0.167," 1,461 ", 500 ,Distributed from 923 Generation And Fuel,2004,,,
172,AK,Galena Electric Utility,7437,5,0,RE,IC,DFO,0.8,,,,,1990,2008,,
173,AK,Galena Electric Utility,7437,5A,0,OP,IC,DFO,0.8,0.167," 1,169 ", 400 ,Distributed from 923 Generation And Fuel,2009,,,
174,AK,Galena Electric Utility,7437,6,0,OP,IC,DFO,0.5,0.167, 730 , 250 ,Distributed from 923 Generation And Fuel,2013,,,
175,AK,Galena Electric Utility,7437,6A,0,RE,IC,DFO,0.4,,,,,1997,2008,,
176,AK,Gambell,57062,UNIT1,0,OP,IC,JF,0.3,0.108, 284 , 97 ,Distributed from 923 Generation And Fuel,1985,,,
177,AK,Gambell,57062,UNIT2,0,OP,IC,JF,0.5,0.108, 473 , 162 ,Distributed from 923 Generation And Fuel,2006,,,
178,AK,Gambell,57062,UNIT3,0,OP,IC,JF,0.8,0.108, 757 , 259 ,Distributed from 923 Generation And Fuel,2006,,,
179,AK,George M Sullivan Generation Plant 2,6559,5,0,OP,CT,NG,38.1,0.299," 99,938 "," 35,086 ",Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1975,,,
180,AK,George M Sullivan Generation Plant 2,6559,6,2,OP,CA,NG,33.0,0.265," 76,519 "," 17,906 ",EIA-923 Generator File,1979,,,
181,AK,George M Sullivan Generation Plant 2,6559,7,0,OP,CT,NG,102.6,0.299," 269,125 "," 94,482 ",Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1979,,,
182,AK,George M Sullivan Generation Plant 2,6559,GT8,0,OP,GT,NG,92.6,0.059," 48,135 "," 25,454 ",Distributed from 923 Generation And Fuel,1984,,,
183,AK,Glennallen,6305,1,0,RE,IC,DFO,0.3,,,,,1959,2008,,
184,AK,Glennallen,6305,2,0,RE,IC,DFO,0.3,,,,,1959,2008,,
185,AK,Glennallen,6305,3,0,SB,IC,DFO,0.5,0.097, 425 , 146 ,Distributed from 923 Generation And Fuel,1963,,,
186,AK,Glennallen,6305,4,0,SB,IC,DFO,0.5,0.097, 425 , 146 ,Distributed from 923 Generation And Fuel,1966,,,
187,AK,Glennallen,6305,5,0,SB,IC,DFO,0.5,0.097, 425 , 146 ,Distributed from 923 Generation And Fuel,1966,,,
188,AK,Glennallen,6305,6,0,OP,IC,DFO,2.6,0.097," 2,212 ", 757 ,Distributed from 923 Generation And Fuel,1976,,,
189,AK,Glennallen,6305,7,0,OP,IC,DFO,2.6,0.097," 2,212 ", 757 ,Distributed from 923 Generation And Fuel,1976,,,
190,AK,Glennallen,6305,8,0,OP,IC,DFO,1.2,0.097," 1,021 ", 350 ,Distributed from 923 Generation And Fuel,1999,,,
191,AK,Glennallen,6305,9,0,OP,IC,DFO,2.8,0.097," 2,382 ", 816 ,Distributed from 923 Generation And Fuel,2010,,,
192,AK,Goat Lake Hydro,7751,1,0,OP,HY,WAT,4.0,0.432," 15,140 "," 5,947 ",Distributed from 923 Generation And Fuel,1997,,,
193,AK,Gold Creek,63,1,0,OP,HY,WAT,0.8,0.402," 2,817 "," 1,107 ",Distributed from 923 Generation And Fuel,1951,,,
194,AK,Gold Creek,63,2,0,OP,HY,WAT,0.4,0.402," 1,409 ", 553 ,Distributed from 923 Generation And Fuel,1914,,,
195,AK,Gold Creek,63,3,0,OP,HY,WAT,0.4,0.402," 1,409 ", 553 ,Distributed from 923 Generation And Fuel,1914,,,
196,AK,Gold Creek,63,IC1,0,SB,IC,DFO,1.2,0.000, 3 , 1 ,Distributed from 923 Generation And Fuel,1952,,,
197,AK,Gold Creek,63,IC2,0,SB,IC,DFO,1.2,0.000, 3 , 1 ,Distributed from 923 Generation And Fuel,1954,,,
198,AK,Gold Creek,63,IC3,0,SB,IC,DFO,1.1,0.000, 2 , 1 ,Distributed from 923 Generation And Fuel,1961,,,
199,AK,Gold Creek,63,IC4,0,SB,IC,DFO,3.5,0.000, 8 , 3 ,Distributed from 923 Generation And Fuel,1963,,,
200,AK,Gold Creek,63,IC5,0,SB,IC,DFO,1.1,0.000, 2 , 1 ,Distributed from 923 Generation And Fuel,1966,,,
201,AK,Green Lake,313,1,0,OP,HY,WAT,9.3,0.434," 35,396 "," 13,903 ",Distributed from 923 Generation And Fuel,1982,,,
202,AK,Green Lake,313,2,0,OP,HY,WAT,9.3,0.434," 35,396 "," 13,903 ",Distributed from 923 Generation And Fuel,1982,,,
203,AK,Gwitchyaa Zhee,7174,1,0,OP,IC,DFO,0.6,0.124, 651 , 223 ,Distributed from 923 Generation And Fuel,1987,,,
204,AK,Gwitchyaa Zhee,7174,2A,0,OP,IC,DFO,0.5,0.124, 543 , 186 ,Distributed from 923 Generation And Fuel,2012,,,
205,AK,Gwitchyaa Zhee,7174,3,0,RE,IC,DFO,0.6,,,,,1990,2009,,
206,AK,Gwitchyaa Zhee,7174,4A,0,OP,IC,DFO,0.5,0.124, 543 , 186 ,Distributed from 923 Generation And Fuel,2011,,,
207,AK,Gwitchyaa Zhee,7174,5,0,RE,IC,DFO,0.5,,,,,2000,2009,,
